# Simulated random data file for batch processing
# timestamp: 2021-04-21 13:36:45
# NJG
# ------------------------

"varX","varY"
0.917600928572938,0.466337869409472
0.454283579951152,0.93554134783335
0.372942977817729,0.382162321358919
0.103963311528787,0.782789593329653
0.781908198259771,0.0990413010586053
0.479809310054407,0.469252759590745
NA,0.352569582872093
0.872795740142465,0.300467196386307
0.986705920891836,0.362394596450031
0.35876397578977,0.564451425103471
0.544079499784857,0.22786436509341
0.704391729552299,0.530137258348987
NA,NA
0.242842736886814,0.681011730572209
0.196006861981004,0.666997399181128
0.0973174793180078,0.524094790918753
NA,0.553053908515722
0.74868938094005,0.58459670539014
0.488121155882254,NA
0.651971623301506,NA
0.158219565171748,0.668874568771571
0.729079085635021,0.523968977155164
0.482312694890425,0.231336373835802
0.754805399803445,0.877817072439939
0.579854847863317,0.144674176350236
NA,0.227817551000044
0.315403595101088,0.0102289514616132
0.386994963977486,0.338392794132233
NA,0.283355630002916
0.0139654742088169,0.93730230582878
0.28065989469178,0.963640656787902
0.402543212519959,0.555436946451664
0.586721719242632,NA
NA,0.73084629024379
0.949590509291738,0.0267938729375601
0.440056125866249,0.683435413520783
0.0520983946043998,0.184227190446109
0.271554355276749,0.218506107805297
0.298892077989876,0.715815573232248
0.683153353398666,0.622479942627251
0.0218960943166167,NA
0.856153650674969,NA
0.553388256346807,0.849557908484712
0.754880823194981,0.196926865726709
0.78519880771637,0.470527307363227
0.699408198473975,0.909421370830387
0.920996462227777,0.371333663119003
0.0269928965717554,0.30379495723173
0.861274051479995,0.830763690639287
0.607269591419026,0.183095039334148
0.399317044764757,0.381517690140754
